long,lat
-122.3588717,37.6119357
-122.3588717,37.61193567
-122.3588731,37.61193626
-122.3588837,37.61194075
-122.3589198,37.61195595
-122.3589827,37.61198245
-122.3590842,37.61202524
-122.3592366,37.61208941
-122.3594464,37.61217773
-122.3597615,37.61231037
-122.3601033,37.61245412
-122.3604954,37.61261894
-122.3609806,37.61282273
-122.3616866,37.61311902
-122.3622944,37.61337383
-122.3629569,37.61365125
-122.3637086,37.61365125
-122.3637086,37.61396569
-122.3646243,37.61434819
-122.3654506,37.61469279
-122.3665505,37.61515071
-122.3675138,37.61515071
-122.3675138,37.61555097
-122.3685224,37.61596916
-122.3697967,37.61649614
-122.3709158,37.61695755
-122.3720585,37.61742711
-122.3732839,37.61792498
-122.3748322,37.6185452
-122.3761592,37.61907652
-122.3775691,37.61964392
-122.3791651,37.62028998
-122.3806265,37.62088508
-122.3823078,37.62157413
-122.3837131,37.62215367
-122.3851649,37.6227559
-122.3865503,37.62333389
-122.3882404,37.62404335
-122.3896539,37.62464037
-122.3912397,37.62531403
-122.3925825,37.62588763
-122.3940042,37.62649773
-122.3955758,37.62717511
-122.3969482,37.62776671
-122.3983323,37.62836184
-122.3996915,37.62894274
-122.4011427,37.62955615
-122.4027174,37.62955615
-122.4027174,37.63021055
-122.4041665,37.63079939
-122.4054988,37.63132707
-122.4071796,37.63196952
-122.4089,37.6325968
-122.4103766,37.63310888
-122.4123418,37.63375069
-122.413781,37.63419108
-122.4155701,37.63419108
-122.4155701,37.63470327
-122.4176134,37.63524014
-122.4188746,37.63554629
-122.4206635,37.63554629
-122.4206635,37.63594735
-122.422261,37.63627306
-122.4240351,37.63659989
-122.4257005,37.63687394
-122.4273092,37.63710958
-122.42915,37.63734552
-122.4307083,37.63734552
-122.4307083,37.63751828
-122.4323517,37.63767484
-122.4342499,37.63782471
-122.4358937,37.6379294
-122.4375759,37.63801358
-122.4394674,37.63808239
-122.441066,37.63812056
-122.4427131,37.63814192
-122.4443856,37.63814613
-122.4462902,37.63814613
-122.4462902,37.63813087
-122.448278,37.63809377
-122.4499232,37.63804788
-122.4521465,37.63796534
-122.4538072,37.63788938
-122.4554927,37.63780079
-122.4574111,37.63768686
-122.4593432,37.63768686
-122.4593432,37.63755891
-122.4613006,37.63741669
-122.4632371,37.63726457
-122.4648857,37.63712854
-122.4665712,37.63698456
-122.4685153,37.63681426
-122.4702411,37.63666117
-122.4719349,37.63651134
-122.4736086,37.63636591
-122.4755912,37.63619996
-122.4772377,37.63606987
-122.4789827,37.63594217
-122.4809213,37.63581539
-122.4826623,37.63571726
-122.4843464,37.63563815
-122.4863637,37.63556237
-122.4883327,37.6355076
-122.4900745,37.63547561
-122.4917548,37.6354596
-122.4934443,37.63545847
-122.4951659,37.63547295
-122.4970837,37.6355078
-122.4987975,37.63555573
-122.500765,37.6356303
-122.5024707,37.63571188
-122.5041145,37.63580536
-122.5058014,37.63591648
-122.5077743,37.63606604
-122.5093835,37.63620379
-122.511393,37.63639558
-122.5130289,37.63656779
-122.5147189,37.63676044
-122.5165548,37.63698595
-122.5185589,37.63725058
-122.5201368,37.6374717
-122.5221124,37.63776329
-122.5240517,37.63806414
-122.525602,37.63831407
-122.5273339,37.63860226
-122.5292475,37.63893071
-122.5308535,37.63921375
-122.5325278,37.63951545
-122.5344074,37.63986158
-122.5360822,37.64017623
-122.5377004,37.64017623
-122.5377004,37.6404855
-122.5396268,37.64086007
-122.5412571,37.64118232
-122.5428877,37.64150928
-122.5448152,37.64190161
-122.546458,37.64190161
-122.546458,37.64224087
-122.5481125,37.64258692
-122.549973,37.64298097
-122.5516628,37.64334292
-122.5533075,37.64369856
-122.5549414,37.64405471
-122.556839,37.64405471
-122.556839,37.64447109
-122.558543,37.64484684
-122.5601449,37.64520104
-122.5618391,37.64557606
-122.563477,37.64593839
-122.5652418,37.6463279
-122.567065,37.64672855
-122.568786,37.64710439
-122.5711973,37.64762581
-122.5728062,37.64796953
-122.5747842,37.64838661
-122.5766835,37.64878047
-122.578377,37.64912547
-122.5805566,37.64955985
-122.5824961,37.6499363
-122.5841603,37.65025102
-122.5866713,37.65071033
-122.5883627,37.65100865
-122.5902878,37.65133779
-122.5922379,37.65166058
-122.5939106,37.65192951
-122.5955844,37.65219185
-122.5975616,37.65249315
-122.5994471,37.65277189
-122.6014503,37.65305895
-122.6030935,37.65328745
-122.604796,37.65351759
-122.6067796,37.65377732
-122.6084609,37.65399051
-122.6101432,37.65419756
-122.6118263,37.65439865
-122.6138028,37.65462728
-122.6154878,37.65481609
-122.6174547,37.65502973
-122.6191415,37.65520739
-122.6208289,37.65538021
-122.6225172,37.65554837
-122.6244876,37.65573883
-122.6264238,37.65592005
-122.6281142,37.65607357
-122.6300872,37.6562473
-122.631779,37.65639165
-122.6334713,37.6565318
-122.6354465,37.65669008
-122.63714,37.65682134
-122.6388341,37.65694874
-122.6408229,37.65709381
-122.642518,37.65709381
-122.642518,37.65721419
-122.644496,37.65735176
-122.6461917,37.65746792
-122.6478876,37.65746792
-122.6478876,37.65758312
-122.6498663,37.65771712
-122.6515624,37.65771712
-122.6515624,37.65783235
-122.6532702,37.65794939
-122.6552489,37.65808713
-122.6569447,37.65820737
-122.6586404,37.65832933
-122.6606304,37.6584747
-122.6623258,37.65860048
-122.6640211,37.65872856
-122.6659985,37.65888144
-122.6676931,37.65901582
-122.6696697,37.65901582
-122.6696697,37.65917698
-122.6713517,37.65931824
-122.6730097,37.65946147
-122.6749963,37.65963876
-122.6766884,37.65979495
-122.6783798,37.65979495
-122.6783798,37.65995615
-122.6800705,37.65995615
-122.6800705,37.66012259
-122.682042,37.66032359
-122.683731,37.6605019
-122.6854307,37.66068717
-122.687399,37.66090903
-122.689085,37.66110533
-122.6910507,37.66134143
-122.6927346,37.66154976
-122.6944174,37.66176345
-122.6963445,37.66201468
-122.6980252,37.6622393
-122.699705,37.66246873
-122.7017102,37.66274886
-122.703388,37.6629883
-122.7050648,37.6632321
-122.70702,37.66352189
-122.7089624,37.66381555
-122.7106595,37.66407679
-122.7125648,37.66437519
-122.7142833,37.66464894
-122.7159543,37.66491936
-122.7176245,37.66519378
-122.7192938,37.66547222
-122.7209158,37.66574676
-122.7228725,37.66608321
-122.7248164,37.66642307
-122.7264815,37.66671868
-122.7284229,37.66706849
-122.7300975,37.66706849
-122.7300975,37.66737458
-122.7317595,37.66768221
-122.7336975,37.66768221
-122.7336975,37.66804531
-122.7353118,37.66835064
-122.7372944,37.66872832
-122.7389538,37.669046
-122.740613,37.669046
-122.740613,37.66936441
-122.7427908,37.66936441
-122.7427908,37.6697824
-122.7444502,37.67010018
-122.74611,37.67041669
-122.7477703,37.67073134
-122.7497544,37.6711039
-122.7514165,37.67141232
-122.7533681,37.67177032
-122.755032,37.67207211
-122.7566619,37.6723647
-122.7585934,37.67270749
-122.7602598,37.67299982
-122.7619733,37.67329673
-122.7639195,37.67362901
-122.7658323,37.67395004
-122.7675027,37.67422556
-122.7691742,37.67449646
-122.7708468,37.6747625
-122.7727996,37.67506639
-122.7744747,37.67532101
-122.7761625,37.67557171
-122.7781197,37.67585477
-122.7797985,37.67609092
-122.7817585,37.67635878
-122.7834398,37.67658178
-122.7851222,37.67679872
-122.7870862,37.67704425
-122.7887825,37.67724975
-122.790468,37.67744809
-122.7921543,37.67764089
-122.794111,37.67785781
-122.7958108,37.6780406
-122.7974996,37.67821721
-122.7994706,37.67841729
-122.8011725,37.678585
-122.8028632,37.67874711
-122.8045544,37.67890489
-122.8065282,37.6790836
-122.8082206,37.67923223
-122.8099134,37.6793767
-122.8118889,37.67953998
-122.8135356,37.6796717
-122.8152415,37.67980415
-122.8172185,37.67995277
-122.8189134,37.68007628
-122.8206087,37.68019651
-122.8223041,37.68031387
-122.8242941,37.68044863
-122.8259899,37.68056159
-122.8276858,37.68067348
-122.8293817,37.68078491
-122.8313603,37.68091515
-122.8330561,37.68102769
-122.8347518,37.6811417
-122.8364592,37.68125861
-122.8384252,37.68139672
-122.8401203,37.68151928
-122.841815,37.68164473
-122.8435213,37.68177421
-122.8452155,37.68190627
-122.8471916,37.68206505
-122.849461,37.68225431
-122.8511538,37.68240065
-122.852846,37.68255169
-122.8547725,37.68272982
-122.8564634,37.68289188
-122.8581535,37.68305947
-122.8601362,37.68326343
-122.8621177,37.68347534
-122.8640746,37.68369258
-122.865761,37.68388609
-122.8677274,37.68411898
-122.8694119,37.68432453
-122.8711072,37.68453691
-122.8727898,37.684753
-122.8747518,37.68501141
-122.8764443,37.68523973
-122.8781241,37.6854712
-122.8800246,37.68573874
-122.8817025,37.68597989
-122.8833912,37.68622719
-122.8853932,37.68652627
-122.8870683,37.6867814
-122.8890214,37.68708444
-122.8909733,37.68739325
-122.8926453,37.68766252
-122.8943279,37.68793792
-122.895998,37.68821562
-122.8978988,37.68853679
-122.8998911,37.68887901
-122.901558,37.68916957
-122.9035018,37.68951287
-122.9051671,37.68981004
-122.9076294,37.69025324
-122.9092937,37.69055445
-122.9112352,37.69055445
-122.9112352,37.69090654
-122.9134542,37.69130862
-122.9151186,37.69160934
-122.9170606,37.69195961
-122.9187253,37.69225934
-122.9203902,37.6925586
-122.9223443,37.6925586
-122.9223443,37.69290921
-122.9240094,37.69320746
-122.9256748,37.69350496
-122.9273404,37.6938014
-122.9292956,37.69414751
-122.9309621,37.69444061
-122.9329069,37.69478011
-122.9345745,37.69506875
-122.9362427,37.69535496
-122.9379115,37.69563854
-122.939813,37.69595803
-122.941495,37.69623719
-122.9434911,37.69656401
-122.945442,37.69687843
-122.9473475,37.69718055
-122.9490215,37.69744171
-122.9506964,37.69769888
-122.9526633,37.69799543
-122.9543401,37.6982435
-122.9562976,37.69852743
-122.9579763,37.69876602
-122.959656,37.69900016
-122.9616167,37.69926768
-122.9633099,37.69949368
-122.9649805,37.69971217
-122.9669559,37.69996479
-122.9689206,37.70020996
-122.9706055,37.7004154
-122.9722911,37.7006165
-122.9742585,37.70084564
-122.9761916,37.70106494
-122.9779146,37.7012555
-122.9798963,37.7012555
-122.9798963,37.701469
-122.9815855,37.70164618
-122.983557,37.70184741
-122.9852475,37.70201517
-122.9869503,37.70201517
-122.9869503,37.7021797
-122.9889239,37.70236481
-122.9905691,37.70236481
-122.9905691,37.70251454
-122.9928732,37.70271725
-122.9945665,37.70286103
-122.9962604,37.70300044
-122.9979546,37.70300044
-122.9979546,37.70313553
-122.9999083,37.70328603
-123.0015916,37.70341134
-123.0032989,37.70353453
-123.0052538,37.70367149
-123.0069616,37.7037883
-123.0086578,37.70390231
-123.0106486,37.70390231
-123.0106486,37.70403444
-123.012345,37.70414628
-123.0143241,37.70427677
-123.0160204,37.70438932
-123.0177166,37.70450316
-123.019978,37.70465803
-123.0216738,37.70477728
-123.0236637,37.70492154
-123.0256413,37.70507041
-123.027336,37.70520215
-123.0290303,37.70533765
-123.0307242,37.70547727
-123.0326999,37.70564564
-123.0344046,37.70579596
-123.036379,37.70597618
-123.0380707,37.70613601
-123.0397617,37.70630086
-123.0417338,37.70649962
-123.0434233,37.70667562
-123.0453926,37.70689251
-123.0469963,37.70708194
-123.0487609,37.70730704
-123.0503585,37.70752856
-123.0523583,37.70783311
-123.0543042,37.70816166
-123.0559651,37.70846965
-123.0576186,37.70846965
-123.0576186,37.70880322
-123.0592636,37.70916346
-123.0611823,37.70962132
-123.0628057,37.71004207
-123.0646851,37.71056904
-123.0662823,37.71105203
-123.0678661,37.7115639
-123.0697062,37.71220162
-123.071268,37.71278043
-123.0727921,37.71337945
-123.0745611,37.71411872
-123.0760579,37.71478248
-123.0775362,37.71547352
-123.0792464,37.71631862
-123.0806821,37.71706711
-123.0823311,37.71797263
-123.0837219,37.71877574
-123.085091,37.71960322
-123.0864379,37.72045455
-123.0877622,37.7213292
-123.089465,37.72251169
-123.0907349,37.72343825
-123.0919802,37.72438656
-123.0932002,37.72535624
-123.0945909,37.7265139
-123.0959453,37.72769938
-123.0970845,37.72874429
-123.0983698,37.7299791
-123.0997926,37.73142073
-123.1008272,37.73142073
-123.1008272,37.73252231
-123.1018339,37.73364056
-123.1028126,37.73477478
-123.103919,37.73611733
-123.1048432,37.73729208
-123.1057325,37.73847284
-123.1067396,37.73987589
-123.1075608,37.74107706
-123.1083586,37.74229909
-123.1092526,37.74373978
-123.1101122,37.74373978
-123.1101122,37.74520445
-123.1108133,37.74646394
-123.1115947,37.74794599
-123.1123367,37.74794599
-123.1123367,37.74944092
-123.1130394,37.75094793
-123.1136104,37.75224872
-123.1142402,37.75377616
-123.114821,37.75528593
-123.1152978,37.75661072
-123.1158185,37.75816417
-123.1162344,37.75950196
-123.1166843,37.76106946
-123.1170398,37.76241832
-123.1174221,37.76400704
-123.1177184,37.76536507
-123.1180298,37.76695398
-123.1182676,37.76831936
-123.1185114,37.76991583
-123.1186918,37.77128687
-123.1188705,37.77289853
-123.1189947,37.77427361
-123.1190931,37.77565005
-123.1191659,37.77702753
-123.1192187,37.7786355
-123.1192367,37.7786355
-123.1192367,37.7800142
-123.1192297,37.781393
-123.1191898,37.7830013
-123.1191153,37.78461843
-123.1190251,37.78599539
-123.118908,37.78737094
-123.1187347,37.78897327
-123.1185534,37.79034404
-123.1183067,37.79191098
-123.1180564,37.79327458
-123.1177724,37.79463386
-123.1173973,37.7962133
-123.1169738,37.7977847
-123.1165683,37.79913351
-123.1161281,37.8004653
-123.1155668,37.80200833
-123.1150475,37.80332178
-123.1143998,37.80484335
-123.1138111,37.80613838
-123.1130847,37.80764785
-123.1124389,37.80892576
-123.111658,37.81040786
-123.1107335,37.81209096
-123.1100202,37.81334634
-123.1091686,37.81480395
-123.108423,37.81604757
-123.1076642,37.81728616
-123.1068875,37.81852848
-123.1061041,37.81975747
-123.1051756,37.82118534
-123.1043674,37.82118534
-123.1043674,37.82240407
-123.1035479,37.82361796
-123.1027167,37.82482669
-123.1017317,37.82622999
-123.1008977,37.82739337
-123.0998749,37.82879009
-123.0989889,37.82997323
-123.0980892,37.83114961
-123.0970218,37.83251305
-123.096091,37.83367348
-123.0951451,37.83482584
-123.0940151,37.83616743
-123.0928974,37.83745748
-123.0918984,37.83858009
-123.0906829,37.83990785
-123.0896464,37.84100797
-123.0885923,37.84209713
-123.0873324,37.84336085
-123.0862395,37.84442481
-123.0849417,37.84565072
-123.0836195,37.84685957
-123.0824668,37.8478818
-123.0812964,37.84889089
-123.0799005,37.85005808
-123.0784892,37.85119971
-123.0770889,37.85229579
-123.0758063,37.85326905
-123.0743292,37.85326905
-123.0743292,37.85435553
-123.0728302,37.85542246
-123.07131,37.85646977
-123.0700182,37.85733357
-123.0686841,37.85820131
-123.067147,37.85917152
-123.0657819,37.86000735
-123.0644026,37.86082786
-123.0627368,37.86178766
-123.0613172,37.86257935
-123.0598938,37.86257935
-123.0598938,37.86334942
-123.0584569,37.86410296
-123.0567635,37.86496064
-123.0550623,37.8657897
-123.0535605,37.86649481
-123.0520664,37.86717186
-123.0503073,37.86793823
-123.048786,37.86857455
-123.0472954,37.86917441
-123.0454485,37.86988548
-123.0438896,37.86988548
-123.0438896,37.87045852
-123.0423195,37.87101094
-123.0404959,37.87162154
-123.0388694,37.8721383
-123.0367289,37.87277865
-123.0351124,37.87323301
-123.0334866,37.87366477
-123.0318521,37.87366477
-123.0318521,37.87407356
-123.0299346,37.87452091
-123.0283172,37.87487167
-123.0266582,37.8752065
-123.0247606,37.87555857
-123.0230063,37.87585501
-123.0210824,37.87614843
-123.0193981,37.87637837
-123.0174158,37.8766167
-123.0157226,37.87679278
-123.0140263,37.87679278
-123.0140263,37.87694401
-123.012044,37.87694401
-123.012044,37.87708891
-123.0103428,37.87718573
-123.0086403,37.87725729
-123.0066414,37.87725729
-123.0066414,37.87730911
-123.0047015,37.87732578
-123.002999,37.87731296
-123.0012505,37.87727286
-122.9995395,37.8772071
-122.9976192,37.87710187
-122.9959263,37.87698104
-122.9941789,37.87682829
-122.9924949,37.87665395
-122.9905836,37.87642344
-122.9889119,37.87619287
-122.9872125,37.8759301
-122.9855441,37.8759301
-122.9855441,37.87564389
-122.9836215,37.87527888
-122.9817452,37.87488577
-122.9801181,37.87488577
-122.9801181,37.87451493
-122.9782331,37.87404953
-122.9766297,37.87362258
-122.9750383,37.8731699
-122.9731976,37.87260961
-122.9716235,37.87209847
-122.9698176,37.87147457
-122.968285,37.87091365
-122.966807,37.87034834
-122.9650061,37.86963011
-122.9635095,37.86901173
-122.9617639,37.86826974
-122.9602841,37.86826974
-122.9602841,37.86762648
-122.9585644,37.86686646
-122.9570844,37.86620457
-122.9556171,37.8655436
-122.9541617,37.86488496
-122.952453,37.86410961
-122.9507346,37.86332901
-122.949311,37.86268233
-122.947562,37.86188805
-122.9460976,37.86122328
-122.9446331,37.86055872
-122.9429244,37.8597837
-122.9414596,37.8597837
-122.9414596,37.85911969
-122.9400253,37.85846982
-122.9382857,37.85768211
-122.9368918,37.85705143
-122.9351416,37.85626016
-122.933666,37.85559363
-122.9322106,37.85493678
-122.9304903,37.85416117
-122.9290243,37.85350091
-122.9273136,37.85350091
-122.9273136,37.85273136
-122.925847,37.85207242
-122.9243801,37.85141411
-122.9226683,37.85141411
-122.9226683,37.85064692
-122.9212007,37.84999005
-122.9194777,37.84922001
-122.9177542,37.8484509
-122.9162953,37.84780086
-122.914591,37.8470426
-122.9128657,37.84627624
-122.9114359,37.84564214
-122.9096684,37.84564214
-122.9096684,37.84485954
-122.9081966,37.84420897
-122.9064788,37.84345094
-122.9047602,37.84269397
-122.9030408,37.84193804
-122.9013207,37.84118315
-122.8998458,37.84118315
-122.8998458,37.84053693
-122.8983702,37.83989148
-122.8966788,37.83915285
-122.895202,37.83850905
-122.8934785,37.83775892
-122.8920005,37.83711678
-122.890522,37.83647542
-122.8890746,37.83647542
-122.8890746,37.83584857
-122.8875999,37.83521094
-122.8853597,37.83424449
-122.883702,37.83353103
-122.8822551,37.8329095
-122.8805367,37.83217273
-122.8788572,37.83145414
-122.8774319,37.83084545
-122.8760109,37.83023959
-122.8746324,37.82965283
-122.8729416,37.82893441
-122.8712917,37.82823467
-122.8698678,37.82763183
-122.8682171,37.82693416
-122.8665741,37.82624102
-122.865155,37.82564334
-122.8637233,37.82504129
-122.8621002,37.8243599
-122.8606416,37.82374861
-122.8592392,37.82316173
-122.8575537,37.82245764
-122.8561538,37.82187386
-122.8547108,37.82127304
-122.8529833,37.82055507
-122.8515343,37.81995388
-122.8501233,37.81936946
-122.8483773,37.81864755
-122.8469626,37.81806366
-122.8454757,37.817451
-122.8440077,37.81684716
-122.8423462,37.81616492
