long,lat
-122.3590859,37.61202246
-122.3590858,37.61202242
-122.359086,37.6120225
-122.3590927,37.61202533
-122.3591149,37.61203469
-122.3591706,37.61205818
-122.3592513,37.612092
-122.3593662,37.61214004
-122.3595637,37.61222203
-122.3597943,37.61231697
-122.3600858,37.61243574
-122.3605053,37.61260437
-122.3609337,37.61277395
-122.3614221,37.6129643
-122.3620675,37.6129643
-122.3620675,37.61321143
-122.3628244,37.61349558
-122.3635264,37.61375449
-122.3644229,37.61407935
-122.3652568,37.61437667
-122.366311,37.61474708
-122.3674377,37.61513741
-122.3684632,37.61548855
-122.3696966,37.61590716
-122.3708664,37.61630081
-122.372258,37.61676592
-122.3735044,37.61717993
-122.3749942,37.61766919
-122.3763468,37.61810749
-122.3777424,37.61856093
-122.3791838,37.61856093
-122.3791838,37.61903187
-122.3808993,37.619596
-122.3823612,37.62007991
-122.3841139,37.62066407
-122.3856102,37.62116632
-122.3871036,37.62167084
-122.3888578,37.62226759
-122.3903136,37.62276617
-122.3917803,37.62327149
-122.3934782,37.62386024
-122.3949423,37.62437103
-122.3963679,37.62487101
-122.3977574,37.62536799
-122.399463,37.62598567
-122.4008915,37.62650678
-122.4025205,37.62650678
-122.4025205,37.62710311
-122.4042423,37.62773361
-122.4059188,37.62834604
-122.4073568,37.62887716
-122.4090392,37.6294991
-122.4104864,37.63003249
-122.4119392,37.63056479
-122.413612,37.63117154
-122.4153251,37.63178351
-122.4168023,37.63178351
-122.4168023,37.63230149
-122.4182882,37.63281185
-122.4200333,37.63339586
-122.4215394,37.63388536
-122.423055,37.63436356
-122.4248462,37.63490919
-122.4266398,37.63543387
-122.4281875,37.63586884
-122.429766,37.63629548
-122.431572,37.63629548
-122.431572,37.63676264
-122.433137,37.63714956
-122.4350082,37.6375907
-122.4368682,37.63800657
-122.4384708,37.63834722
-122.4400918,37.63867569
-122.4416974,37.63898556
-122.4433207,37.63928374
-122.444939,37.63956639
-122.4468706,37.63988546
-122.4484902,37.64013828
-122.4504361,37.64042516
-122.4523662,37.64069243
-122.454026,37.64090922
-122.4556905,37.64111516
-122.4576034,37.64133837
-122.4592776,37.64152258
-122.460956,37.64169742
-122.4629194,37.6418902
-122.4646066,37.64204637
-122.4662977,37.64219466
-122.4682753,37.64235829
-122.4699863,37.64235829
-122.4699863,37.64249182
-122.4719732,37.6426381
-122.4736801,37.6427566
-122.4756758,37.64288716
-122.4773902,37.64288716
-122.4773902,37.64299272
-122.4791078,37.64309261
-122.4808288,37.64318698
-122.4828523,37.64329088
-122.484579,37.64337368
-122.486307,37.64345132
-122.4880351,37.64352392
-122.4900502,37.6436024
-122.4920629,37.64367444
-122.4937973,37.64373167
-122.4955167,37.64378422
-122.497471,37.64383914
-122.499231,37.64388447
-122.5012128,37.64393112
-122.5029301,37.64396801
-122.5046326,37.64400158
-122.5065801,37.64403657
-122.5082772,37.64403657
-122.5082772,37.64406436
-122.5102542,37.64409391
-122.5119466,37.6441171
-122.5139185,37.64414207
-122.515888,37.64416534
-122.5178788,37.64418776
-122.5195521,37.64420622
-122.521517,37.64422801
-122.5232007,37.64424729
-122.5248844,37.64424729
-122.5248844,37.64426762
-122.5265683,37.64428945
-122.5285453,37.64428945
-122.5285453,37.64431769
-122.5302306,37.64434454
-122.5319171,37.64437453
-122.5335579,37.64437453
-122.5335579,37.64440717
-122.5352938,37.64444597
-122.5372193,37.64449479
-122.5389585,37.64449479
-122.5389585,37.64454473
-122.540664,37.64459963
-122.5426418,37.64467131
-122.5445741,37.64475029
-122.5463193,37.64482966
-122.5480184,37.64491454
-122.5497184,37.64491454
-122.5497184,37.64500715
-122.551703,37.64512513
-122.5533696,37.64523245
-122.5550961,37.64523245
-122.5550961,37.64535154
-122.556776,37.64547505
-122.5584803,37.64560791
-122.5604695,37.64577233
-122.5621751,37.64592111
-122.5641774,37.64610461
-122.5658838,37.64626825
-122.5675904,37.64643828
-122.5693088,37.64661567
-122.5712879,37.64682725
-122.5729468,37.64701031
-122.5747001,37.64720915
-122.5764173,37.64740899
-122.5784063,37.6476464
-122.5801104,37.6478547
-122.5820976,37.64810307
-122.5838,37.64832039
-122.585785,37.64857898
-122.5877806,37.64884449
-122.5897629,37.64911372
-122.5914138,37.64934209
-122.5931578,37.64958748
-122.5948536,37.64983014
-122.5968305,37.6501181
-122.5985237,37.65036907
-122.6001805,37.65061852
-122.6018949,37.65088069
-122.6038426,37.65118354
-122.6055544,37.6514541
-122.6072181,37.65172102
-122.6092202,37.65204739
-122.6108815,37.65232252
-122.6125652,37.65260532
-122.6148084,37.65298829
-122.6164897,37.65327989
-122.6181699,37.65357513
-122.620129,37.65392405
-122.6218072,37.65422682
-122.6234962,37.65453495
-122.6254637,37.65489799
-122.6271277,37.65520821
-122.6288027,37.65552317
-122.6304771,37.65584044
-122.6324298,37.65621316
-122.6341147,37.65621316
-122.6341147,37.65653673
-122.6357876,37.65685947
-122.6374603,37.65718327
-122.6393883,37.65718327
-122.6393883,37.65755739
-122.641084,37.65788678
-122.6427566,37.65821157
-122.6447081,37.65858986
-122.6463463,37.65890638
