long,lat
-122.3590946,37.61198783
-122.3590946,37.61203279
-122.3592306,37.61209009
-122.359402,37.61216229
-122.3596371,37.6122613
-122.3598838,37.6122613
-122.3598838,37.61236516
-122.3601802,37.61249
-122.3605968,37.61266563
-122.3610215,37.6128445
-122.3615977,37.61308701
-122.3621439,37.61331689
-122.3628656,37.61362093
-122.3635489,37.61390843
-122.3642911,37.61422032
-122.3652303,37.61461445
-122.3661035,37.61498027
-122.3670271,37.61536653
-122.3679782,37.61576347
-122.3692025,37.61627305
-122.3703136,37.61673411
-122.3714708,37.61721272
-122.3728689,37.61778858
-122.3741386,37.61830914
-122.3754501,37.61884419
-122.3770429,37.61884419
-122.3770429,37.61949001
-122.3784616,37.62005978
-122.3799266,37.62064481
-122.3816841,37.62134928
-122.3831911,37.62134928
-122.3831911,37.62195584
-122.3850125,37.62195584
-122.3850125,37.62269226
-122.386585,37.62333107
-122.3881582,37.62397313
-122.3899856,37.62472261
-122.3917975,37.62472261
-122.3917975,37.6254697
-122.3933354,37.62610689
-122.3951195,37.6268529
-122.3968715,37.62759246
-122.3983789,37.62823373
-122.3998347,37.62823373
-122.3998347,37.62885727
-122.4015474,37.62959591
-122.4032527,37.63033673
-122.4047223,37.63097931
-122.4064286,37.63172936
-122.4078976,37.63237725
-122.4093864,37.63303304
-122.4111198,37.63303304
-122.4111198,37.63378582
-122.4126347,37.63442884
-122.4141827,37.63506627
-122.416008,37.63578545
-122.4176023,37.63637857
-122.4192257,37.63694322
-122.4211343,37.63755032
-122.4228456,37.63803872
-122.4248509,37.63854049
-122.4265612,37.63890718
-122.4283301,37.63922764
-122.4304172,37.63922764
-122.4304172,37.63953141
-122.4325231,37.63976097
-122.4343387,37.63990128
-122.4364649,37.64000361
-122.4383041,37.64004343
-122.4401332,37.64004389
-122.4422193,37.64000917
-122.4441032,37.63995275
-122.4459372,37.63988148
-122.4477596,37.63980001
-122.4499152,37.6396956
-122.4517665,37.63960219
-122.453607,37.63950961
-122.4554495,37.63942092
-122.4576017,37.63932614
-122.4594485,37.63925664
-122.4616054,37.63919686
-122.463456,37.63917083
-122.4653211,37.639174
-122.467483,37.63922176
-122.4693359,37.6393061
-122.4711871,37.6394351
-122.473342,37.63964664
-122.4751826,37.63988286
-122.476977,37.64016441
-122.4791066,37.640557
-122.4809505,37.64093899
-122.4827375,37.64134003
-122.4848466,37.64184099
-122.4866533,37.64228401
-122.4884618,37.64273228
-122.490589,37.64325975
-122.4924066,37.64370748
-122.4945342,37.64422441
-122.4963641,37.64466043
-122.4982,37.64508705
-122.5000413,37.64508705
-122.5000413,37.64550194
-122.5022086,37.64597062
-122.5040598,37.6463518
-122.5059148,37.64671417
-122.5080828,37.64711081
-122.5099441,37.64742733
-122.5118072,37.64772223
-122.5139821,37.64803875
-122.5161706,37.64832702
-122.5180354,37.6485495
-122.5202104,37.64878317
-122.5220737,37.64896229
-122.5242456,37.64914792
-122.5261051,37.64928868
-122.527898,37.64941078
-122.5295728,37.64951434
-122.5316443,37.64963061
-122.533482,37.64972476
-122.5356388,37.64982686
-122.537486,37.64990887
-122.5393451,37.64998776
-122.5414985,37.65007627
-122.5433439,37.65015285
-122.5454966,37.65024707
-122.5473417,37.65033544
-122.5491865,37.65043583
-122.5513377,37.65057641
-122.5531927,37.65072482
-122.5553396,37.65092923
-122.5571776,37.65113286
-122.5593191,37.65140391
-122.5611395,37.65166104
-122.5629832,37.65194432
-122.564812,37.65224735
-122.5669559,37.65262775
-122.5690852,37.6530292
-122.5712134,37.65345051
-122.5730373,37.65382497
-122.5751658,37.65427471
-122.5769913,37.65466894
-122.5787804,37.65506109
-122.5806094,37.65546625
-122.5827462,37.65594286
-122.5845806,37.65635291
-122.5867241,37.65683105
-122.5885645,37.65723934
-122.5904076,37.65764517
-122.5922147,37.65803929
-122.5941139,37.65844876
-122.5962719,37.65890876
-122.5984316,37.65936348
-122.6002839,37.65974799
-122.6021371,37.66012686
-122.6040039,37.66050182
-122.6061675,37.66092713
-122.6083319,37.66134167
-122.6101876,37.66168777
-122.6120438,37.66202477
-122.6142101,37.66240587
-122.6163772,37.66277359
-122.6182481,37.66308012
-122.6201067,37.66337458
-122.6219658,37.66365924
-122.6241353,37.66397934
-122.6263054,37.66428715
-122.628476,37.66458346
-122.6302981,37.664824
-122.632159,37.66506269
-122.6340198,37.66529507
-122.6358805,37.66552186
-122.6377668,37.66574672
-122.6399109,37.66599691
-122.6420802,37.6662449
-122.6442745,37.66649109
-122.6461197,37.66669481
-122.6479773,37.66669481
-122.6479773,37.66689711
-122.6498344,37.66709678
-122.6520005,37.66732681
-122.6538567,37.66752208
-122.6557383,37.66752208
-122.6557383,37.66771912
-122.65789,37.66794438
-122.659745,37.66813937
-122.6619086,37.66836883
-122.6637628,37.66856808
-122.6659256,37.66856808
-122.6659256,37.66880462
-122.6677789,37.66901174
-122.6699536,37.6692611
-122.6718061,37.6694795
-122.6739671,37.66974069
-122.675819,37.66974069
-122.675819,37.66997023
-122.6776192,37.67019918
-122.6795217,37.67044822
-122.6813723,37.67044822
-122.6813723,37.67069702
-122.6834922,37.67099007
-122.6853417,37.67125375
-122.6874983,37.67157128
-122.689346,37.67185227
-122.6915132,37.67219263
-122.6933459,37.67248959
-122.6955233,37.67285322
-122.6973538,37.67316785
-122.699503,37.67354724
-122.7013442,37.67388039
-122.7031845,37.67388039
-122.7031845,37.67422036
-122.7053306,37.67462487
-122.7071822,37.67498018
-122.7090205,37.67533816
-122.7108073,37.67569063
-122.713002,37.67612908
-122.714839,37.67650032
-122.7169816,37.67693783
-122.7188176,37.67731625
-122.7209719,37.67776376
-122.722807,37.6781474
-122.7249477,37.6785966
-122.7267825,37.6789821
-122.7286172,37.67936721
-122.730758,37.67981497
-122.7325551,37.68018862
-122.7343909,37.68056738
-122.7362273,37.68094265
-122.7380641,37.68131484
-122.7399014,37.68168399
-122.7420456,37.68211003
-122.7438843,37.68247072
-122.7460433,37.68288787
-122.747884,37.68323752
-122.7497259,37.6835813
-122.7518764,37.68397431
-122.7537468,37.68430822
-122.7555674,37.6846257
-122.7577489,37.68499582
-122.7595855,37.68499582
-122.7595855,37.68529849
-122.7614365,37.68559515
-122.7635976,37.68593096
-122.7654514,37.68593096
-122.7654514,37.68621002
-122.7676157,37.68621002
-122.7676157,37.68652569
-122.7697814,37.68683118
-122.7716516,37.68683118
-122.7716516,37.68708719
-122.7738194,37.68737565
-122.7756782,37.68761656
-122.7778474,37.68789094
-122.779707,37.68812095
-122.781567,37.6883466
-122.7837371,37.68860485
-122.7858687,37.68885364
-122.7880392,37.68885364
-122.7880392,37.68910231
-122.7898997,37.68931198
-122.7917601,37.68951891
-122.7939304,37.68975757
-122.7957905,37.68996036
-122.7979861,37.69019885
-122.7998325,37.69039957
-122.8016913,37.69060261
-122.8038591,37.69060261
-122.8038591,37.69084168
-122.8057166,37.69104937
-122.8078827,37.69129599
-122.8100605,37.69154984
-122.8119153,37.69177036
-122.8137695,37.69177036
-122.8137695,37.69199467
-122.815623,37.69222309
-122.8177843,37.69249597
