long,lat
-122.3591229,37.61203749
-122.3591228,37.61203749
-122.3591228,37.61203745
-122.3591232,37.61203763
-122.3591321,37.61204138
-122.3591581,37.61205233
-122.3592083,37.61207349
-122.3592869,37.6121066
-122.3594246,37.61216462
-122.3595929,37.61223552
-122.3598213,37.61233171
-122.3601601,37.61247428
-122.3605169,37.6126244
-122.3609355,37.61280038
-122.3615015,37.61303816
-122.3621502,37.61331044
-122.3627757,37.61331044
-122.3627757,37.61357269
-122.3636755,37.61394955
-122.3644533,37.61427484
-122.3654089,37.6146739
-122.3664403,37.61510386
-122.3673834,37.61510386
-122.3673834,37.6154963
-122.3683801,37.6159102
-122.3694219,37.61634188
-122.3707106,37.61687445
-122.3718536,37.61734524
-122.373268,37.61792539
-122.3745436,37.61844239
-122.3760993,37.61906819
-122.3774396,37.61960977
-122.3790635,37.62026935
-122.3804795,37.6208477
-122.3821481,37.62153316
-122.3835937,37.62213059
-122.385217,37.62213059
-122.385217,37.6228054
-122.3866842,37.62341896
-122.388113,37.62401968
-122.3895223,37.62461533
-122.3911436,37.62530436
-122.3925396,37.62590082
-122.3938777,37.62647521
-122.3952862,37.62708248
-122.3966649,37.62767837
-122.398265,37.62836695
-122.3996217,37.62894533
-122.4010228,37.62953425
-122.4028773,37.63029565
-122.4042503,37.63084284
-122.4058908,37.63147546
-122.4073295,37.63200822
-122.4087725,37.63252031
-122.4102308,37.63252031
-122.4102308,37.63301292
-122.4119512,37.6335622
-122.4136919,37.63408228
-122.41522,37.63451098
-122.4169842,37.6349745
-122.4185193,37.6353495
-122.420067,37.6357014
-122.4218875,37.63608246
-122.4234597,37.63638346
-122.4250418,37.6366609
-122.4268991,37.63695502
-122.4285112,37.63718359
-122.4301199,37.637388
-122.4317353,37.6375705
-122.4333568,37.63773181
-122.4349837,37.63787268
-122.4366156,37.63799378
-122.4385363,37.63811152
-122.4401772,37.63819198
-122.4423704,37.63827222
-122.443996,37.63831262
-122.4454866,37.63833617
-122.4475999,37.63834865
-122.4492335,37.63834243
-122.4511574,37.63831846
-122.4528185,37.63828413
-122.4543891,37.63824076
-122.4564243,37.6381698
-122.4580915,37.6381698
-122.4580915,37.63810001
-122.4600392,37.63800793
-122.4617227,37.6379227
-122.4633966,37.63783214
-122.4653525,37.63771933
-122.4670314,37.63771933
-122.4670314,37.6376171
-122.4687129,37.6376171
-122.4687129,37.63751192
-122.4706779,37.63738666
-122.4723185,37.63728346
-122.473786,37.63719455
-122.4760455,37.63719455
-122.4760455,37.63706965
-122.4777451,37.63698952
-122.4797333,37.63691272
-122.4817266,37.63685908
-122.4834383,37.63685908
-122.4834383,37.63683473
-122.4857345,37.63683752
-122.4874478,37.63683752
-122.4874478,37.63686743
-122.4891595,37.63691836
-122.4911406,37.63700168
-122.4928562,37.63709343
-122.4951206,37.63724028
-122.4973411,37.63724028
-122.4973411,37.63741034
-122.4993077,37.63758073
-122.5012906,37.63777001
-122.5029415,37.63794015
-122.5051661,37.63794015
-122.5051661,37.63818598
-122.5071056,37.63841459
-122.5090503,37.63841459
-122.5090503,37.63865607
-122.5109777,37.63890659
-122.5126254,37.63890659
-122.5126254,37.63912897
-122.5145547,37.63939834
-122.5161839,37.63963294
-122.5178221,37.6398751
-122.5197421,37.64016656
-122.5213765,37.64042086
-122.5235542,37.64042086
-122.5235542,37.6407682
-122.525459,37.64107958
-122.5270918,37.64135195
-122.5287251,37.64162927
-122.5306316,37.64195883
-122.5322782,37.64224829
-122.5341876,37.64258928
-122.5357803,37.64287772
-122.5374656,37.64318646
-122.539107,37.64349021
-122.539107,37.64349021
