long,lat
-122.3588445,37.61192026
-122.3588452,37.61192057
-122.3588532,37.61192395
-122.3588851,37.61193738
-122.3589389,37.61196008
-122.3590211,37.61199473
-122.3591551,37.61205118
-122.359331,37.6121253
-122.3595155,37.61220298
-122.3597341,37.61229492
-122.3600392,37.61242318
-122.360299,37.61253231
-122.3607285,37.61271257
-122.3611607,37.61289386
-122.3616462,37.61309729
-122.3622066,37.61309729
-122.3622066,37.61333199
-122.3628156,37.61358673
-122.3635963,37.6139129
-122.3643368,37.61422191
-122.3651353,37.61455468
-122.3659909,37.61491077
-122.3669028,37.61528968
-122.3678701,37.6156909
-122.3690749,37.61618952
-122.3701675,37.61664053
-122.3712973,37.61710569
-122.3724868,37.61759396
-122.3737273,37.61810148
-122.3752381,37.61871703
-122.3765866,37.61926389
-122.3779938,37.61983123
-122.3796855,37.61983123
-122.3796855,37.62050628
-122.3811801,37.62110369
-122.3827084,37.62171684
-122.3842623,37.62234279
-122.3858324,37.62297801
-122.3876826,37.62373023
-122.3892558,37.62437307
-122.3908197,37.62501504
-122.392606,37.62575197
-122.3941603,37.62639626
-122.3956776,37.62702789
-122.3974293,37.62776028
-122.3988857,37.62837165
-122.4003631,37.62899399
-122.4018336,37.62961545
-122.4035433,37.63034049
-122.4050082,37.63096365
-122.4064782,37.63159042
-122.408234,37.63234049
-122.4097033,37.6329673
-122.4112073,37.6329673
-122.4112073,37.63360387
-122.412986,37.63434118
-122.4144916,37.63494709
-122.4161093,37.63557391
-122.417981,37.6362605
-122.4196288,37.63682407
-122.4212959,37.63734961
-122.4229936,37.63783433
-122.4247209,37.63827179
-122.4264632,37.63865377
-122.4285525,37.63903198
-122.4303538,37.63928882
-122.4321821,37.63948615
-122.4339568,37.63961981
-122.4358388,37.63970346
-122.4379271,37.63973235
-122.439812,37.63970757
-122.4416452,37.63964425
-122.4434772,37.63954881
-122.4452706,37.63943292
-122.4471021,37.63929882
-122.4492396,37.63913059
-122.4510729,37.63898233
-122.4529335,37.63883279
-122.4547451,37.63883279
-122.4547451,37.63869188
-122.456917,37.63853447
-122.4587467,37.63841676
-122.4605918,37.63831818
-122.4624656,37.6382447
-122.4646,37.6382447
-122.4646,37.63820081
-122.4664542,37.63820319
-122.4686192,37.63820319
-122.4686192,37.63826068
-122.4704875,37.63836302
-122.4729571,37.63836302
-122.4729571,37.63858047
-122.4748028,37.63880794
-122.4769454,37.63914395
-122.4793764,37.63961856
-122.481491,37.64009931
-122.4834569,37.64059232
-122.4854025,37.64111337
-122.4871951,37.64161261
