long,lat
-122.3593968,37.612153
-122.3595615,37.61222236
-122.3597819,37.61231515
-122.3601145,37.61245514
-122.3604661,37.61260308
-122.3608703,37.61277303
-122.3613581,37.61297798
-122.3619897,37.61324316
-122.3625962,37.61349756
-122.3633786,37.61382539
-122.3641123,37.61413245
-122.3649032,37.61446304
-122.3657503,37.61481664
-122.3666528,37.61519272
-122.3677603,37.61519272
-122.3677603,37.61565339
-122.3689531,37.61614835
-122.3700242,37.61659169
-122.3711536,37.61705791
-122.372333,37.61754323
-122.3735624,37.61804555
-122.374851,37.61856511
-122.3764004,37.61856511
-122.3764004,37.61918781
-122.3777675,37.61974018
-122.3793977,37.62040254
-122.3810539,37.62107967
-122.3824843,37.62166799
-122.383917,37.62226065
-122.3855945,37.62295883
-122.3872521,37.62365328
-122.3886629,37.62424779
-122.3903057,37.62494407
-122.3916844,37.62494407
-122.3916844,37.62553166
-122.3930625,37.62612186
-122.3944439,37.62612186
-122.3944439,37.62671607
-122.3960424,37.62740642
-122.3976215,37.62809175
-122.3990071,37.62870282
-122.4005643,37.62939418
-122.4019713,37.63002092
-122.4035715,37.63073387
-122.404929,37.63133519
-122.4063037,37.63193562
-122.4076979,37.63253213
-122.4091042,37.63311754
-122.4107621,37.63378296
-122.4121991,37.63433529
-122.4139053,37.6349591
-122.4153765,37.63546734
-122.4167392,37.63591277
-122.4183669,37.63641224
-122.4199068,37.63685192
-122.4216762,37.63731795
-122.4232155,37.63768964
-122.4248004,37.63768964
-122.4248004,37.63804031
-122.4266396,37.63840767
-122.4282169,37.63868985
-122.4298264,37.63894714
-122.431434,37.63917414
-122.4330498,37.63937325
-122.4344019,37.63951825
-122.4365857,37.63971274
-122.4382213,37.63982783
-122.4401126,37.63993007
-122.4417803,37.63999446
-122.4436576,37.64003975
-122.4453549,37.64005733
-122.4472501,37.64005733
-122.4472501,37.64005234
-122.4489063,37.64002797
-122.4508408,37.63997725
-122.4527772,37.63990305
-122.45445,37.63982108
-122.456378,37.63970734
-122.456378,37.63970734
