long,lat
-122.359355,37.61213566
-122.3595442,37.61221534
-122.3597679,37.61230952
-122.360056,37.61243077
-122.3604659,37.61260316
-122.3608842,37.61277899
-122.3613604,37.61297906
-122.3619967,37.61324611
-122.3626115,37.61350394
-122.3633939,37.61383169
-122.3642598,37.61419395
-122.3650639,37.61419395
-122.3650639,37.61452986
-122.3660787,37.61495336
-122.3669964,37.61533595
-122.3679811,37.61574572
-122.3689974,37.61616776
-122.3702572,37.61668954
-122.3714145,37.61716743
-122.3725892,37.61765092
-122.3738478,37.61816442
-122.3751207,37.61867735
-122.3767085,37.61867735
-122.3767085,37.61931721
-122.3780737,37.61987027
-122.3797108,37.61987027
-122.3797108,37.62053715
-122.3811237,37.62053715
-122.3811237,37.62111596
-122.3825361,37.62169772
-122.3842102,37.62239137
-122.3856814,37.62300471
-122.3870959,37.62359764
-122.3885213,37.62419838
-122.3901605,37.6248931
-122.3917853,37.62558586
-122.3931667,37.62617795
-122.3945224,37.6267621
-122.3959035,37.62736207
-122.3972779,37.62795471
-122.3988986,37.62864049
-122.4002895,37.62921257
-122.4016819,37.62976575
-122.4031069,37.63030822
-122.4047568,37.63090329
-122.4062253,37.63140148
-122.4076799,37.63186471
-122.4091608,37.63230514
-122.4108982,37.63278178
-122.4126772,37.63322588
-122.4144543,37.63362678
-122.4160008,37.63394242
-122.4178308,37.63427805
-122.4194127,37.63453685
-122.4209933,37.63476803
-122.4228262,37.6350039
-122.4244467,37.6350039
-122.4244467,37.63518544
-122.4260071,37.63533787
-122.4279207,37.63549694
-122.429538,37.63560912
-122.4314308,37.63571644
-122.4330463,37.63578908
-122.4346542,37.63584532
-122.4366063,37.63589382
-122.4382325,37.63591929
-122.4401351,37.63593351
-122.4418014,37.63593362
-122.4437219,37.63592104
-122.4453707,37.6359013
-122.446999,37.63587466
-122.4489284,37.63583612
-122.4506079,37.63579773
-122.4525321,37.63575
-122.4541942,37.63570751
-122.4561137,37.63565882
-122.4578167,37.63561877
-122.4597553,37.63557937
-122.4614304,37.63555446
-122.4636806,37.63553843
-122.4656442,37.63554634
-122.4672953,37.63557114
-122.4689956,37.63561852
-122.4709798,37.63570791
-122.4732374,37.63570791
-122.4732374,37.63585756
-122.474933,37.63599894
-122.4769005,37.63619106
-122.4785618,37.63637436
-122.4803057,37.63658545
-122.4822731,37.63658545
-122.4822731,37.63684412
-122.4842509,37.63712366
-122.4865195,37.63746542
-122.4882086,37.63773249
-122.4904435,37.63809954
-122.4921235,37.63838384
-122.4938106,37.63867498
-122.4957596,37.6390165
-122.4974252,37.63931143
-122.4993519,37.6396545
-122.5009977,37.63994807
-122.5029618,37.6402975
-122.5046014,37.64058724
-122.5062616,37.64087769
-122.5078971,37.64115988
-122.5098053,37.64148273
-122.5114723,37.64175792
-122.5133782,37.64206339
-122.51501,37.64231624
-122.5166649,37.64256387
-122.5185718,37.64283765
-122.5205032,37.64310203
-122.5224369,37.64335364
-122.524614,37.64362171
-122.5262896,37.6438175
-122.5282206,37.64403257
-122.530155,37.64423756
-122.5320813,37.64443214
-122.5342885,37.64464436
-122.5359672,37.64479862
-122.5382056,37.64499536
-122.5398669,37.64513517
-122.5421011,37.64531557
-122.5437794,37.64544611
-122.5460087,37.64561429
-122.5479607,37.64561429
-122.5479607,37.64575821
-122.5496693,37.64588248
-122.5513681,37.6460053
-122.5530334,37.64612614
-122.5553108,37.64629471
-122.5569909,37.64642347
-122.5586955,37.64655924
-122.5606125,37.64671992
-122.5626355,37.64690175
-122.5643048,37.64706606
-122.566583,37.64731671
-122.5682838,37.64752277
-122.5705213,37.64781702
-122.5722059,37.64781702
-122.5722059,37.64805429
-122.5743907,37.64837953
-122.5764206,37.64869716
-122.5783778,37.64901574
-122.5800305,37.64929097
-122.5817286,37.64957858
-122.5839367,37.64995751
-122.585911,37.65029996
-122.5878493,37.65063868
-122.5895313,37.6509341
-122.5917458,37.65132425
-122.5939708,37.65171653
-122.5956506,37.65201211
-122.5975733,37.65234907
-122.5992526,37.65234907
-122.5992526,37.65264157
-122.6009203,37.65264157
-122.6009203,37.65292985
-122.6028663,37.65292985
-122.6028663,37.65326272
-122.6048126,37.65359122
-122.6067596,37.65391465
-122.6087075,37.65423238
-122.6106565,37.65454377
-122.6125952,37.65484642
-122.6145702,37.65514689
-122.6162327,37.65539336
-122.6184551,37.65571332
-122.6204233,37.65598746
-122.6223932,37.65625321
-122.6246098,37.6565421
-122.6265831,37.65679055
-122.6285579,37.65703133
-122.6305106,37.65726207
-122.6324764,37.65748726
-122.6344551,37.65770705
-122.6361187,37.65788665
-122.6383458,37.65811989
-122.6400699,37.65829491
-122.6423112,37.65851536
-122.6442837,37.65870284
-122.645987,37.65885987
-122.6482316,37.65906002
-122.6502069,37.65922979
-122.6522065,37.65939561
-122.6541834,37.65955358
-122.6561375,37.65970396
-122.6578448,37.65983078
-122.6598236,37.65997256
-122.6615201,37.66008986
-122.6635115,37.66022278
-122.6654916,37.66035014
-122.6671655,37.66045433
-122.6694527,37.660592
-122.6708676,37.66067474
-122.6728368,37.66078727
-122.6744995,37.66088034
-122.6765042,37.66088034
-122.6765042,37.6609923
-122.6782256,37.66109
-122.6799115,37.6611874
-122.6816207,37.66128828
-122.6836008,37.66140771
-122.6852741,37.66151147
-122.6869825,37.6616206
-122.6886669,37.66173187
-122.6906569,37.66186869
-122.6923521,37.66199033
-122.6943408,37.66213963
-122.6960346,37.66227284
-122.6980099,37.66243569
-122.6997022,37.66258189
-122.701382,37.66273329
-122.7033544,37.66291913
-122.7050324,37.6630841
-122.7067447,37.66325888
-122.7084093,37.66343488
-122.7100613,37.66361531
-122.7120754,37.66384272
-122.7140415,37.66407222
-122.7157258,37.66427446
-122.7173626,37.66447578
-122.7193843,37.66473071
-122.7210662,37.66494795
-122.7227006,37.66516342
-122.7247076,37.6654338
-122.7263288,37.6656568
-122.7280658,37.66590026
-122.7297437,37.66613984
-122.7317002,37.66642466
-122.7333647,37.6666716
-122.7353307,37.66696877
-122.7369934,37.66722473
-122.7386784,37.66748849
-122.7403277,37.6677509
-122.7420225,37.6677509
-122.7420225,37.66802488
-122.7436932,37.66829919
-122.745618,37.66862032
-122.745618,37.66862032
